,birth_date,gender,area,title,specialization,salary,education_level,education,language,experience,skill_set,skills
164,20,Мужчина,Турция,Ретушер,"Фотограф, ретушер",,Среднее специальное образование,,"['Русский', 'Английский', 'Казахский', 'Татарский']",0,"[""['Ретушь предметных и модельных фотограф'"", "" 'Английский язык'"", "" 'Ведение карточки товара на маркетплейсе'"", "" 'Adobe Lightroom'"", "" 'Adobe Photoshop'"", "" 'Уверенный пользователь ПК'"", "" 'Понимание устройства ПК'"", "" 'Создание сайтов на базе WordPress']""]","Имею опыт работы с обработкой предметных и модельных фотографий. Работал ретушёром и выпускающим редактором в KazanExpress. 
Гражданство РФ, хорошо знаю английский."
165,20,Мужчина,Турция,3D Artist,"Дизайнер, художник",,Высшее образование (Бакалавр),,"['Чеченский', 'Английский', 'Русский']",0,"[""['Adobe Photoshop'"", "" 'rizomUV'"", "" 'marmoset toolbag1'"", "" 'ZBrush1'"", "" '3D Моделирование'"", "" '3ds Max1'"", "" 'substance painter1'"", "" 'corona render1'"", "" 'high-poly1'"", "" 'low-poly1'"", "" 'Blender 3D1'"", "" '3D-графика'"", "" '3d художник'"", "" 'Trim sheets texture']""]","Привет, я занимаюсь моделированием 4 года, работал в нескольких компаниях специализирующихся на технологиях VR и AR, мои навыки - это моделирование, UV, ретопология, запекание, текстурирование, UDIM тайл, атлас текстуры.
Любимый стиль — стимпанк и научная фантастика.
Ознакомиться с моими работами можно тут: https://docs.google.com/presentation/d/1o0IncsMtHFPPhBMIGjQUibAMZ2aelJml/edit?usp=sharing&ouid=114688670934505023204&rtpof=true&sd=true
Мой LindkedIn https://www.linkedin.com/in/abdulrahman-abubakirov-b822b3197"
166,30,Женщина,Турция,Специалист по продвижению в соцсетях/ smm,"SMM-менеджер, контент-менеджер",,Высшее образование,3,"['Русский', 'Английский', 'Турецкий']",1,"[""['Исполнительность']""]",
167,48,Мужчина,Турция,Инженер,"Инженер-конструктор, инженер-проектировщик",,Высшее образование (Бакалавр),19,"['Русский', 'Английский']",1,"[""['Навыки эксплуатации турбинного оборудования электрической станции']""]","Аналитически-технический склад ума, способности к быстрому обучению, 
высокая работоспособность, ответственность, умение вести переговоры и 
переписку.
Непосредственное участие в организации выполнения работ по продлению 
срока эксплуатации турбинного оборудования энергоблоков №1, 2 Смо-
ленской АЭС."
168,30,Мужчина,Турция,Front-end developer,"Программист, разработчик",,Высшее образование,1,"['Русский', 'Английский', 'Кыргызский']",1,"[""['HTML5'"", "" 'CSS3'"", "" 'jQuery'"", "" 'Git'"", "" 'Gulp'"", "" 'Webpack'"", "" 'Sass'"", "" 'Less'"", "" 'Ajax'"", "" 'Bootstrap'"", "" 'БЭМ'"", "" 'PUG'"", "" 'ООП'"", "" 'JavaScript'"", "" 'TypeScript'"", "" 'Scss'"", "" 'Adobe Photoshop'"", "" 'Figma'"", "" 'SVG'"", "" 'Анимация'"", "" 'коммерческие проекты'"", "" 'Jade'"", "" 'Bitbucket'"", "" 'ESBuild']""]","Зовут меня Алмаз. Верстаю сайты любой сложности -  лэндинги, интернет магазины, SPA . Большой опыт Коммерческих проектов. Также есть опыт работы с CMS: Wordpress, Opencart. в 2016году закончил курсы ""html-верстальщик"".
Умение работать со следующими технологиями и инструментами:
HTML5 / CSS3
JS (ES6+) / TypeScript / jQuery
ООП
SVG анимации
Photoshop / Illustrator / Figma
PUG (Jade)
Sass / Less
Git / Bitbucket
Webpuck, ESBuid, Gulp
БЭМ, Bootstrap
Open Server, Denwer, FTP
адаптивная верстка, почтовые рассылки, иконочный шрифт
Wordpress /Opencart / Битрикс 1С
OpenGraph, Schema.org
На выходе  кроссбраузерный, валидный, аккуратный, продуманный, прокомментированный html и css.
ссылка на мой GitHub: https://github.com/aldjanaliev"
169,21,Мужчина,Москва,Начинающий специалист,Юрисконсульт,,Неоконченное высшее образование,,"['Русский', 'Английский']",1,"[""['Обучаемость'"", "" 'Коммуникабельность'"", "" 'Пользователь ПК'"", "" 'Грамотная речь'"", "" 'Деловое общение'"", "" 'Деловая переписка'"", "" 'Английский язык'"", "" 'Умение работать в команде'"", "" 'Работа с большим объемом информации'"", "" 'Деловая коммуникация'"", "" 'Заключение договоров'"", "" 'Проведение презентаций'"", "" 'MS PowerPoint'"", "" 'MS Outlook'"", "" 'Ведение переговоров'"", "" 'Документооборот']""]","Опыт работника сцены - 1 год
Включает в себя, работы с декорациями и сценическим оборудованием, подготовка к концерту и проведение концерта в надлежащем виде. Работа с артистами перед выступлением и во время его проведения."
170,25,Male,Turkey,Marketing specialist/analyst,Marketing and advertising manager,,Higher education (master),,"['Russian', 'English', 'French', 'German']",0,"[""['PR'"", "" 'MS Office'"", "" 'Business Correspondence'"", "" 'Business communication'"", "" 'Communication Strategy'"", "" 'Marketing'"", "" 'Marketing Communication'"", "" 'Interpersonal skills'"", "" 'Strategic Communication'"", "" 'Creativity'"", "" 'Creative Writing'"", "" 'Social media'"", "" 'Social Media Marketing'"", "" 'Google Ads'"", "" 'Google Analytics'"", "" 'Keywords Planning']""]","A 25-year-old ambitious digital marketing specialist who is ready for challenges and accomplishments. Being a Master of Arts in Linguistics and PR I have a great passion for communication and words. The understanding of words importance allowed to develop skills in Keywords Planning. The experience of having a 6-month course of Stratigic Marketing based on Concordia University of Edmonton, Canada encouraged me to dive into the field of digital marketing. The experience of working on various projects both at work and university allowed to become a reliable team player who always ready to take the lead. During off-hours I do enjoy listening to a wide range of instrumental music and also practice playing the bass guitar myself. Apart from music, I am quite passionate about modern tech industry and esports. 
"
171,23,Мужчина,Турция,Начинающий специалист,"Оператор call-центра, специалист контактного центра",,Среднее специальное образование,,"['Русский', 'Английский']",1,"[""['Исполнительность'"", "" 'Эффективное решение проблем'"", "" 'Грамотная речь'"", "" 'Умение расставлять приоритеты'"", "" 'Пользователь ПК'"", "" 'Стрессоустойчивость'"", "" 'Управление персоналом'"", "" 'Обучение персонала']""]","Добрый день! 
Меня зовут Алиев Эльшат, мне 21 год.
Окончил архитектурный колледж в прошлом году, сейчас учусь на UX/UI дизайнера.
Работал в гостиничном бизнесе с 2016 года.
Сейчас мне потребовалась удаленная работа из-за учебы, и я с радостью хотел бы попробовать в дальнейшем развиваться в данной сфере."
172,31,Male,Turkey,Golang-developer,"Programmer, developer",,Higher education,3,"['Russian', 'English', 'French']",0,"[""['Ответственность']""]","
- https://github.com/fshmidt
- Go
- C
- Python
- Postgres
- Docker
- MySQL
- Curl
- Postman
- работаю над проектами Intra42(Moscow) / Школы 21"
173,,Мужчина,Турция,Руководитель направления/ Помощник руководителя/инженер,Начальник производства,,Высшее образование,21,"['Русский', 'Английский']",0,['[]'],"Быстро вникаю в работу, мышление механика и электроника, позитивен,почти всегда в хорошем духе,могу организовать сервис и обслуживание нефтяного оборудования,  и спецтехники...
Механик по призванию."
174,37,Male,UAE,"Team manager \ Hospitality, concierge business","Sales manager, account manager",,Higher education,10,"['Russian', 'English', 'German']",1,"[""['Sales Management'"", "" 'MS Outlook'"", "" 'Sales Skills'"", "" 'Windows Os'"", "" 'MS Office'"", "" 'Driving Licence B'"", "" 'Opera'"", "" 'Adobe Photoshop'"", "" 'Teambuilding'"", "" 'Presentation skills'"", "" 'Internet'"", "" 'Sabre'"", "" 'Time management'"", "" 'Business English'"", "" 'Phone Calls'"", "" 'Management Skills'"", "" 'Business Etiquette'"", "" 'Luxury products'"", "" 'Tableau'"", "" 'Genesys'"", "" 'ICBM']""]","Skilled with Tableau, ICBM, Genesys, Micros, Sabre, Fidelio, Amadeus systems, OPERA, Concierge Assistant, Apple Mac OS, Microsoft Windows,
Microsoft Office, Corel Draw, Adobe Photoshop etc. Advanced Internet skills
References available upon request.
Have a driver license. 
Ready for making the business trips. 
Fond of pro photography, cooking, music and travelling."
175,33,Мужчина,Турция,Технический менеджер ,Технолог,,Среднее специальное образование,3,"['Русский', 'Английский', 'Татарский']",0,"[""['Работа с большим объемом информации'"", "" 'Опыт управления проектами'"", "" 'Аналитическое мышление'"", "" 'Работа в команде'"", "" 'Деловое общение'"", "" 'Тайм-менеджмент'"", "" 'Организаторские навыки'"", "" 'Наставничество'"", "" 'Стрессоустойчивость'"", "" 'Быстрая обучаемость'"", "" 'Хорошая память"", ' оперативность', ' ответственность', "" внимательность.'"", "" 'Прогнозирование"", "" стратегическое планирование.'"", "" 'Выстраивание стабильных отношений с клиентами"", ' поставщиками', "" кадрами.'"", "" 'Продвинутый пользователь ПК'"", "" 'Работа с оргтехникой'"", "" 'Умение работать в команде'"", "" 'Заключение договоров'"", "" 'Телефонные переговоры']""]","Технический склад ума, развиты аналитические способности и критическое мышление. 
Способен быстро находить нетривиальные решения в разных ситуациях, видеть ситуацию системно и быть внимательным к деталям.
Перфекционист, легалист, педант, готов отвечать за свои действия и работаю по высокому стандарту качества с ответственностью за результат.
Высокая адаптивность к ситуациям.
Мотивация создавать хорошее для людей и усовершенствовать то, что есть."
176,25,Мужчина,Турция,UX/UI дизайнер,"Дизайнер, художник",,Высшее образование (Бакалавр),,"['Русский', 'Английский', 'Турецкий']",1,"[""['Adobe Illustrator'"", "" 'Adobe Photoshop'"", "" 'Tilda'"", "" 'Webflow'"", "" 'CSS'"", "" 'Web-дизайн'"", "" 'Верстка'"", "" 'Figma'"", "" 'Полиграфический дизайн'"", "" 'Дизайн'"", "" 'Наружная реклама'"", "" 'Разработка фирменного стиля'"", "" 'Иллюстрирование'"", "" 'CJM'"", "" 'UX'"", "" 'UI'"", "" 'Графический дизайн'"", "" 'Графические редакторы'"", "" 'HTML'"", "" 'HTML5'"", "" 'Английский язык'"", "" 'Adobe Lightroom'"", "" 'Веб-дизайн'"", "" 'Обработка изображений']""]","UX/UI дизайнер с трёхлетним опытом дизайна и верстки  мобильный приложений, лендингов и многостраничных сайтов.
Мое резюме - https://drive.google.com/file/d/1wOuv3IVtik1tWinSMJP8_a_j-A1YRuvd/view?usp=sharing
Мое портфолио - https://www.behance.net/unickdesign.
Уровень английского - С2. Опыт работы в команде, руководил командой дизайнеров. Владею как дизайном, так и версткой HTML/CSS, в том числе адаптивом, работаю с Tilda, Wordpress, Bitrix. В совершенстве владею Figma, Illustrator, Photoshop. Анимирую SVG."
177,33,Мужчина,Турция,"Менеджер по работе с клиентами, ассистент, куратор онлайн школы","Менеджер по продажам, менеджер по работе с клиентами",,Среднее образование,12,['Русский'],0,"[""['Грамотная речь'"", "" 'Коммуникабельность'"", "" 'Работа с клиентами'"", "" 'Прямые продажи'"", "" 'Холодные продажи'"", "" 'B2B Продажи'"", "" 'B2C продажи'"", "" 'Ответственность'"", "" 'Активные продажи'"", "" 'Ведение переговоров'"", "" 'Работа с возражениями'"", "" 'желание развиваться'"", "" 'Работа в команде'"", "" 'работа на сцене'"", "" 'Продажи']""]","Здравствуйте.
Рассматриваю только удаленный формат работы.
Обо мне:
С 2013 по 2016 год я работал в продажах, в компании сетевого маркетинга (сфера: IT). Есть опыт работы по продаже услуг для бизнеса (обязанности: поиск клиентов, прямые продажи, работа в команде, ведение переговоров, проведение презентаций, закрытие сделок, переговоры по телефону)
С 02.2017 по 05.2017 работал в федеральной компании BEBRAND (сфера: защита интеллектуальной собственности) на должности ""менеджер по продажам""
С 06.2017 по 09.2018 работал удаленно (сфера- марктеинг). Есть базовые знания в области интернет рекламы
Есть навыки работы с фотошопом и видео редактором.
Продвинутый пользователь ПК
Есть права, категории: А,В,С и стаж вождения более 10 лет
Авто: нет.
Прошел множество тренингов направленных на личностное развитие, приобретение лидерских качеств, работе в команде, ведение переговоров, продажи и.т.д
Доп. Образование: 
12. 2013 года: Тренинг «Техника эффективного общения» г. Екатеринбург. Тренер Никоноров Михаил (квалифицированный бизнес тренер, тренер личностного роста, по бизнесу, достижению целей, финансовой грамотности и.т.д и.т.п)
12. 2013 года. Тренинг «Финансовая грамотность» г. Екатеринбург. Тренер Никоноров Михаил
01. 2014 года. 5 дневный тренинг личностного роста (базовый курс) г. Саратов. Тренер Никоноров Михаил
02. 2014 года. 7 дневный тренинг личностного роста (продвинутый курс) ) г. Саратов. Тренер Никоноров Михаил
05. 2014 года. 5 дневный тренинг по постановке и достижению целей) г. Саратов . Тренер Никоноров Михаил
08. 2014 года. 2 дневный тренинг «Деньги есть всегда» г.Екатеринбург. Тренер Роман Аргашоков, основатель компании Финкульт, квалифицированный бизнес тренер, эксперт в области финансов) http://fincult.ru/
11.2014 года. 5 дневный тренинг «Я лидер своих изменений» Турция. От профессиональных бизнес-тренеров, проводивших обучение для таких компаний как Сбербанк, DOMO, Роснефть, Газпромбанк, KAMAZ и других известных в брендов и до сих пор сопровождающие их. (Тренинг направлен на проработку лидерских качеств, постановку и достижение целей, работу в команде и.т.д)
2016 год. Тренинги по интернет маркетингу от известных тренеров СНГ
В поиске удаленной работы в динамично развивающейся компании, с возможностью выйти на доход от 60.000 рублей и выше."
178,47,Male,UAE,Commercial manager / trader of grains and agri commodities/ director of sales and procurement,Head of sales,,Higher education (PhD),12,"['Russian', 'English']",0,"[""['Sales Management'"", "" 'Sales Planning'"", "" 'Business Management'"", "" 'Team management'"", "" 'Negotiation skills'"", "" 'Analytical skills'"", "" 'Leadership Skills'"", "" 'Business English'"", "" 'Presentation skills'"", "" 'Time management'"", "" 'Teambuilding'"", "" 'Driving Licence B'"", "" 'Procurement'"", "" 'MBA']""]","22 years in grain trading. Expert in Russian grains and oilseeds origination and sales. 
7 years managing origination and export flow via Russian deep and shallow water ports archiving 1m mts/year.
Interested and highly motivated to build further career as international trader / origination and sales director / export manager of Russian origin agri commodities basis long in-country experience and background in multinational companies.
Experienced in negotiations, people management, problem solving, risk management.
Responsible, trustworthy, result oriented, self motivated.
"
179,42,Female,Turkey,PMO Lead. Business Development and Project Management. Management Accounting.,Head of sales,,Higher education,10,"['Russian', 'English', 'French']",0,"[""['Управление проектами'"", "" 'Английский язык'"", "" 'Business Analysis'"", "" 'Работа с большим объемом информации'"", "" 'Управление командой'"", "" 'Обучение персонала'"", "" 'Организаторские навыки'"", "" 'ERP'"", "" 'Разработка методологии управленческого учета'"", "" 'Формирование управленческой отчетности'"", "" 'Формирование бюджета'"", "" 'PMI'"", "" 'PMBOK'"", "" 'Project management'"", "" 'Sales Forecasting'"", "" 'PMP'"", "" 'Управление рисками'"", "" 'Бизнес-анализ'"", "" 'Management Accounting'"", "" 'Leadership Skills'"", "" 'People Management'"", "" 'Kanban'"", "" 'Asana'"", "" 'Salesforce'"", "" 'Моделирование бизнес процессов'"", "" 'Оптимизация бизнес-процессов'"", "" 'PMO'"", "" 'Операционное управление'"", "" 'English']""]","Fluent English. Basic French. Russian – native.
Team player as well as individual working. Deep understanding of business processes and ability to identify true targets. Capable of independent decision making."
180,38,Мужчина,Турция,Менеджер по аренде коммерческой недвижимости,Агент по недвижимости,,Высшее образование,11,"['Русский', 'Английский']",1,"[""['Грамотная речь'"", "" 'Организаторские навыки'"", "" 'Навыки переговоров'"", "" 'MS Outlook'"", "" 'Поиск и привлечение клиентов'"", "" 'Телефонные переговоры'"", "" 'Навыки продаж'"", "" 'Холодные продажи'"", "" 'Английский язык'"", "" 'Работа в команде']""]","Навыки ведения переговоров.
Легко ориентируюсь на рынке недвижимости Москвы. Знаю юридические аспекты по аренде коммерческой недвижимости. 
Коммуникабельный исполнительный и ответственный.
Интересы: недвижимость, урбанистика, городская среда, старинные здания Москвы."
181,38,Мужчина,Турция,Специалист отдела информационных технологий,Системный администратор,,Высшее образование,2,"['Русский', 'Английский']",0,"[""['Linux'"", "" 'Ремонт ПК'"", "" 'Настройка ПО'"", "" 'Информационные технологии'"", "" 'Настройка сетевых подключений'"", "" 'Wifi networks'"", "" 'Работа с базами данных'"", "" 'Windows Os'"", "" 'Mac Os'"", "" 'Техническая поддержка'"", "" 'LAN'"", "" 'MS Office'"", "" 'Active Directory'"", "" 'MS SQL'"", "" 'Helpdesk']""]","Аналитический склад ума, высокая работоспособность, хорошая обучаемость, стремление к успеху в любой ситуации.
Свободное владение компьютером. Умение работать с большинством операционных систем (Windows, Mac OS, Linux). Знание основных сетевых протоколов.
Деловые качества:
- высокая квалификация;
- большой стаж работы по специальности;
- высокая профессиональная компетентность, знание используемого ПО, умение выполнять работы по сервисному сопровождению, выполнению ремонтов, модернизаций и обслуживания вычислительной техники с высоким профессиональным качеством;
- высокий уровень трудовой дисциплины;
- умение работать с документами;
- способность адаптироваться к новой ситуации и применять новые подходы к решению возникающих проблем;
- способность осваивать новые технологии и технические средства, повышающие производительность труда и качество работы;
- способность самостоятельно разбираться и практически проводить проверки и тесты работоспособности новых систем и технических решений.
Отслужил в рядах Российской Армии (ВМФ).
Занимаюсь спортом, не курю.
Есть личный автомобиль, права категории В."
182,33,Женщина,Турция,"Руководитель Call центра, руководитель отдела по работе с клиентами",Другое,,Среднее специальное образование,9,"['Русский', 'Английский']",1,"[""['достижение целей и задач'"", "" 'Мотивация персонала'"", "" 'организация и контроль работы'"", "" 'Управление персоналом'"", "" 'Управление продажами'"", "" '1С: Бухгалтерия'"", "" 'MS Word'"", "" 'MS Excel'"", "" 'MS Outlook']""]","Дополнительное образование: тренинги «Преодоление возражений»‚ «Техника продаж»‚ «Активные продажи» Эндрю Олан и Сид Бауман (США) в Омске от компании ООО ""Престиж"".
Личные качества: позитивный настрой, аналитический склад ума, ответственность, целеустремленность, коммуникабельность, активная жизненная позиция, инициативность, пунктуальность, высокая работоспособность, мобильность.
Дополнительная информация:
готова к работе в условиях ненормированного рабочего дня;
"
183,37,Мужчина,Алжир,Переводчик/преподаватель/менеджер по работе с клиентами ,Переводчик,,Высшее образование (Бакалавр),10,"['Арабский', 'Английский', 'Испанский', 'Итальянский', 'Немецкий', 'Польский', 'Португальский', 'Русский', 'Французский']",1,"[""['Международные контакты'"", "" 'Ведение переписки на иностранном языке'"", "" 'Редактирование текстов на иностранном языке'"", "" 'Работа на выставках'"", "" 'Административная поддержка иностранного сотрудника'"", "" 'MS Word'"", "" 'SEO оптимизация'"", "" 'Joomla CMS'"", "" 'Обслуживание пк'"", "" 'Ремонт ПК'"", "" 'SEO-копирайтинг'"", "" 'CMS Wordpress'"", "" 'Фотосъемка'"", "" 'Smartcat'"", "" 'Linux (Fedora)'"", "" 'MS Outlook'"", "" 'Amadeus'"", "" 'Semrush']""]","Хобби, технология, наука, юриспруденция, бизнес.
Черты характера: трудолюбивый, стрессоустойчивый, прилежный, оптимистический."
184,43,Female,Turkey,Accountant,Financial manager,,Higher education,8,"['Russian', 'English', 'Turkish']",0,"[""['Основные средства'"", "" 'Расчет заработной платы'"", "" 'Бухгалтерская отчетность'"", "" 'Отчетность в ПФР'"", "" 'Отчетность в ФСС']""]","I have an analytical mind. In work focuses on the result. To solve the problem try to look at it from different sides.
Resistance to stress. Easy to learn the new features. On the task ready to work in a team and individually. I am not afraid to make decisions, as well as responsible for the decision.
Love traveling, walking on the nature, animals, reading"
185,35,Мужчина,Турция,Менеджер по логистике,"Менеджер по логистике, менеджер по ВЭД",,Высшее образование,8,"['Русский', 'Английский']",0,"[""['опыт работы в грузоперевозках. умение быстро принимать решения'"", "" 'Планирование'"", "" 'Работа в команде'"", "" 'пунктуальность'"", "" 'Ответственность'"", "" 'честность'"", "" '1С: Предприятие 8'"", "" 'Пользователь ПК'"", "" 'Работа с большим объемом информации'"", "" 'Стрессоустойчивость'"", "" 'Internet'"", "" 'Поиск информации в интернет'"", "" 'Ведение переговоров'"", "" 'Организаторские навыки']""]","Автомобили, спорт, путешествия, нравится открывать для себя всегда что-то новое и развиваться"
186,24,Женщина,Турция,"Project Manager, Продюсер",Event-менеджер,,Высшее образование,,"['Русский', 'Английский', 'Польский']",0,"[""['Исполнительность'"", "" 'Ответственность'"", "" 'Коммуникабельность']""]",
187,29,Мужчина,Турция,Строительный Инженер,"Инженер ПТО, инженер-сметчик",,Высшее образование (Бакалавр),1,"['Русский', 'Английский', 'Турецкий']",1,"[""['AutoCAD'"", "" 'SAP'"", "" 'Sta4cad'"", "" 'Tekla Structures'"", "" 'MS Office'"", "" 'Google SketchUp'"", "" 'Netcad'"", "" 'ArchiCAD'"", "" 'Dev c++']""]","Люблю заниматься спортом, рисовать, общаться. Собираю монеты. Интересуюсь программированием."
188,30,Женщина,Турция,Переводчик с английского языка,Переводчик,,Высшее образование,4,"['Русский', 'Английский', 'Турецкий']",0,"[""['B2C продажи'"", "" 'Перевод договоров'"", "" 'Перевод художественной литературы'"", "" 'Письменный перевод'"", "" 'Переводчик'"", "" 'Преподавание'"", "" 'SmartCAT']""]",
189,37,Женщина,Турция,"Оператор call-центра, Оператор ПК (Удаленно на дому)",Другое,,Неоконченное высшее образование,1,"['Русский', 'Английский', 'Турецкий']",0,"[""['входящие звонки'"", "" 'исходящие звонки'"", "" 'Консультирование клиентов по телефону'"", "" 'оформление заказов'"", "" 'работа с физическими лицами'"", "" 'Навыки продаж'"", "" 'Консультирование'"", "" 'Обработка исходящей корреспонденции'"", "" 'обработка входящей корреспонденции'"", "" 'Ведение переговоров'"", "" 'Пользователь ПК'"", "" 'Транскрибация']""]","Уверенный пользователь ПК, умею достигать поставленных целей, стрессоустойчива, коммуникабельна, умею находить общий язык с собеседником, внимательна к деталям.
Вместе с тем человек достаточно творческий. Училась в музыкальной школе и музыкальном колледже по классу виолончели.
Любимое занятие в свободное время - фотография и монтаж видео. 
В данный момент рассматриваю вакансии с возможностью работать удаленно из дома."
190,23,Мужчина,Турция,Product marketing manager,Руководитель проектов,,Высшее образование (Магистр),,"['Русский', 'Английский', 'Испанский']",1,"[""['Scrum'"", "" 'Java core'"", "" 'Легко обучаем'"", "" 'Пользователь ПК'"", "" 'Настройка ПК'"", "" 'CMS Wordpress'"", "" 'amoCRM'"", "" 'MS SQL'"", "" 'AnyLogic имитационное моделирование'"", "" 'Написание текстов'"", "" 'MS Visio'"", "" 'RasionalRose'"", "" 'Ведение соц сетей'"", "" 'Продвижение сайтов'"", "" 'Наполнение контентом'"", "" 'PHP5'"", "" 'Скрам мастер'"", "" 'Личное ассестирование'"", "" 'Битрикс 24'"", "" 'Figma'"", "" 'Контекстная реклама'"", "" 'Таргетинг'"", "" 'РСЯ'"", "" 'Деловое общение'"", "" 'Управление персоналом'"", "" 'Яндекс.Директ'"", "" 'Яндекс.Метрика'"", "" 'Google'"", "" 'Google AdWords']""]","Мой опыт работы продукт менеджером/проджект менеджером в целом составляет 3 года. За это время я вырос х10 раз, но не готов останавливаться на достигнутом. У меня есть хороший опыт руководства командой до 20 человек, внедрение и развитие, как действующих так и новых продуктов.
Системный подход к работе
Целостное понимание маркетинга и разработки
Компетентен в широком спектре областей, целеустремлен, люблю трудные задачи, саморазвитие изо дня в день. "
191,34,Женщина,Турция,"Методолог, смысловик, продюсер онлайн школ",Руководитель проектов,,Высшее образование,4,"['Русский', 'Английский']",1,"[""['Маркетинговая стратегия'"", "" 'Запуск новых продуктов'"", "" 'Организаторские навыки'"", "" 'Управление проектами'"", "" 'Управление бизнес процессами'"", "" 'Грамотность'"", "" 'Тактичность'"", "" 'Подбор персонала'"", "" 'Работа с большим объемом информации'"", "" 'Ответственность'"", "" 'юмор'"", "" 'SMM'"", "" 'Разработка стратегии продвижения продуктов'"", "" 'Управление интернет-проектами'"", "" 'Командообразование'"", "" 'Психология продаж'"", "" 'Копирайтинг'"", "" 'Написание текстов'"", "" 'Написание рекламных сценариев'"", "" 'Деловая переписка'"", "" 'Деловое общение'"", "" 'Навыки продаж']""]","Результаты PAEI теста: https://paei.denero.ru/19/nXmrIQ 
21 факт обо мне в цифрах
1. я с 15 лет изучаю психологию, это помогает мне “видеть” и понимать людей, их истинные потребности и мотивы, я могу залезать в голову к аудитории, чтобы понять что им нужно на самом деле и поэтому хорошо продаю и делаю цепляющий маркетинг
2. Совокупный опыт в продажах 17 лет 
3. 6 лет я в управлении диджитал проектами и смм: я продвигала коммерческие блоги и консультировала экспертов по личному брендингу и имиджу в сети, была комьюнити - менеджером женской школы бизнеса и по совместительству менеджером по продажам продуктов этой школы и организатором бизнес-завтраков, запускала инфопродукты. Опыт разносторонний и многогранный, это расширило мой кругозор и масштаб мышления
4. 100 человек  - такое количество гостей было на моем авторском мероприятии в измайловском кремле с угощением, развлекательной программой, фотозоной с фотографом , струнным квартетом и все это по бартеру. Когда я рассказываю этот кейс ивентщикам, они бывают шокированы словом “бартер”, говорят, что за это люди вообще-то деньги платят, чтобы купить подрядчиков, помещение и тд. У меня не было бюджета и мне никто не сказал, что нельзя договариваться, поэтому я сделала то, что умею: договорилась и продала каждому подрядчику идею почему ему это нужно им, а не мне)
5. 8 лет в юриспруденции подарили мне супер прокачанный скилл переговоров, умения убеждать и защищиать свою позицию. А также умение посмотреть на ситуацию с разных сторон, развили критическое мышление: всегда, когда у меня есть мнение, я представляю, что у меня также есть оппонент с противоположным мнением и смотрю на ситуацию его глазами, выявляя слабые места в моей позиции, что позволяет мне их закрывать, нивелируя риски
6. 1 000 000 кстати, столько я однажды отсудила у сети аптек 36, 6 в арбитражном суде города Москвы. Почему это тут? Потому что я не боюсь больших денег и являюсь для них проводником, ведь деньги достались моему работодателю, а не мне))
7. 1 год мес интенсивной терапии в плане денег и моих взаимоотношений с ними также благотворно повлияли на масштаб моей личности так, что теперь я готова идти в крупные проекты и зарабатывать для них и себя большие деньги. Понимая как важно проработать отношения с деньгами для бизнеса, я сделала это!
8. 6 лет работы с психологами , коучами и психотерапевтами в целом хорошо вырастили меня как личность, я стала более осознанной и уважающей, что важно для бизнеса и партнерства
9. 6 лет - к этой планке близится мое погружение в бизнес, все это время я работаю на себя, я предприниматель уже 6 лет, за которое бывало всякое. Неудач было больше и это хорошо, больше я не повторяла ошибок
10. 3 года я занимаюсь развитием онлайн школ, за это время у меня было:
11. 3 удачных запуска (ниши рисование акварелью, инвестиции, саморазвитие - сотрудничество с блогером миллионником - звездой)
12. 7 неудачных запусков (ниши: коучинг для руководителей, сексология, бьюти  b2b сегмент, психология денег (саморазвитие), акселератор диджитал агентств, тик ток, удаленные профессии)
13. 2 неудачных опыта работы с блогерами: 1 по запуску, 2 по продвижению личного бренда через выступления
14. 1 недоделанное агентство/продюсерский центр - собственный бизнес, на который не хватило ресурса. Что значит, что я могу выстраивать бизнес - процессы/управлять бизнесом, понимаю как это работает
15. 1 доделанное обучение для проджектов - продюсеров моего агентства, по которому я учила их делать запуски, учила под себя и также продавала и продаю этот материал на входящие запросы. Что значит, что я могу и умею обучать людей, структурировать информацию.
16. 227 708 р - столько заработала моя ученица, которая делала запуск по моей методе с 0. Это значит, что алгоритм работает не только для внутреннего обучения, но и снаружи имеет подтвержденный результат
17. 5 месяцев выгорания, которое я преодолела и теперь контролирую этот вопрос, так что не сольюсь где-то посередине от усталости
18. 6,5 лет как я  - мать, здесь полностью раскрылся ресурс тайм- менеджемента и продуктивности на час работы, так что я работаю быстро и качественно делаю с 1 раза, чтобы потом не переделывать
19. 4 потока марафона любви к себе по 30 человек в среднем на каждом  - такой результат моего собственного инфопродукта. Марафон был бесплатным и собирала я его через блог, в котором было около 500 человек + реклама у блогеров в минимальных объемах, в основном органика. Так что я действительно знаю как работать на минимальных охватах и бюджетах, а еще хорошо выявляю потребность аудиториии доношу смыслы
20. 6 курсов и тренингов я прошла за последние 5 лет не считая мелких методичек и мини-курсов. Это бэкграунд моего мозга, что позволяет быстро ориентироваться в разных ситуациях и видеть невидимое
21. 100 человек - примерная цифра людей, которых я наняла в проекты за 3 года в продюсировании, количество стажировок и собеседований считать страшно)
"
